Link,Price,Beds,Bathrooms,Carports,Size,Type
https://www.domain.com.au/249a-coode-street-como-wa-6152-2016812938?topspot=1,1005000.0,3,2,2,270,House
https://www.domain.com.au/47b-pitt-street-st-james-wa-6102-2017185475,1005000.0,6,3,2,416,House
https://www.domain.com.au/445-strettle-road-glen-forrest-wa-6071-2017179208,1005000.0,4,2,4,6243,New House &amp; Land
https://www.domain.com.au/2-79-williams-road-nedlands-wa-6009-2017177592,1005000.0,3,2,2,241,House
https://www.domain.com.au/12-sheahan-way-marmion-wa-6020-2017174135,1005000.0,4,2,2,721,House
https://www.domain.com.au/68-grantham-street-wembley-wa-6014-2017142146,1005000.0,7,3,2,573,House
https://www.domain.com.au/307-crawford-road-inglewood-wa-6052-2017137351,1005000.0,3,2,2,534,House
https://www.domain.com.au/326a-railway-parade-west-leederville-wa-6007-2017136504,1005000.0,4,2,2,424,House
https://www.domain.com.au/4-bream-cove-mount-lawley-wa-6050-2017154745,1005000.0,4,2,2,368,House
https://www.domain.com.au/83b-okely-road-carine-wa-6020-2017152068,1005000.0,4,2,2,522,House
https://www.domain.com.au/27a-hood-terrace-sorrento-wa-6020-2017146980,1005000.0,4,2,4,445,House
https://www.domain.com.au/6-harvest-terrace-scarborough-wa-6019-2017146520,1005000.0,3,1,1,655,House
https://www.domain.com.au/183-railway-road-subiaco-wa-6008-2017094404,1005000.0,4,3,2,364,House
https://www.domain.com.au/123-rochdale-road-mount-claremont-wa-6010-2017093503,1005000.0,4,2,2,626,House
